path,hasLower,hasNums,hasBrackets,base_size
fonts/ArgentumSans-Black.ttf,True,True,True,24
fonts/ArgentumSans-BlackItalic.ttf,True,True,True,24
fonts/ArgentumSans-Bold.ttf,True,True,True,25
fonts/ArgentumSans-BoldItalic.ttf,True,True,True,25
fonts/ArgentumSans-ExtraBold.ttf,True,True,True,25
fonts/ArgentumSans-ExtraBoldItalic.ttf,True,True,True,26
fonts/ArgentumSans-ExtraLight.ttf,True,True,True,26
fonts/ArgentumSans-ExtraLightItalic.ttf,True,True,True,26
fonts/ArgentumSans-Italic.ttf,True,True,True,26
fonts/ArgentumSans-Light.ttf,True,True,True,26
fonts/ArgentumSans-LightItalic.ttf,True,True,True,26
fonts/ArgentumSans-Medium.ttf,True,True,True,25
fonts/ArgentumSans-MediumItalic.ttf,True,True,True,26
fonts/ArgentumSans-Regular.ttf,True,True,True,26
fonts/ArgentumSans-SemiBold.ttf,True,True,True,26
fonts/ArgentumSans-SemiBoldItalic.ttf,True,True,True,26
fonts/ArgentumSans-Thin.ttf,True,True,True,26
fonts/ArgentumSans-ThinItalic.ttf,True,True,True,26
fonts/ArgosGeorge.ttf,True,True,True,30
fonts/ArgosGeorgeContour.ttf,True,True,True,25
fonts/ArimaMadurai-Black.ttf,True,True,True,26
fonts/ArimaMadurai-Bold.ttf,True,True,True,25
fonts/ArimaMadurai-ExtraBold.ttf,True,True,True,26
fonts/ArimaMadurai-ExtraLight.ttf,True,True,True,25
fonts/ArimaMadurai-Light.ttf,True,True,True,25
fonts/ArimaMadurai-Medium.ttf,True,True,True,26
fonts/ArimaMadurai-Regular.ttf,True,True,True,26
fonts/ArimaMadurai-Thin.ttf,True,True,True,25
fonts/Arimo-Bold.ttf,True,True,True,27
fonts/Arimo-BoldItalic.ttf,True,True,True,27
fonts/Arimo-Italic.ttf,True,True,True,26
fonts/Arimo-Regular.ttf,True,True,True,27
fonts/AristokratZierbuchstaben.ttf,False,False,False,31
fonts/Arizonia-Regular.ttf,True,True,True,25
fonts/Arkhip_font.otf,True,True,True,29
fonts/Arkhip_font.ttf,True,True,True,27
fonts/Armata-Regular.ttf,True,True,True,23
fonts/Armenia Gradient Italic.ttf,False,True,False,31
fonts/Armenia Gradient.ttf,False,True,False,35
fonts/Armenia Grunge Italic.ttf,False,True,False,34
fonts/Armenia Grunge.ttf,False,True,False,33
fonts/Armenia Italic.ttf,False,True,False,35
fonts/Armenia.ttf,False,True,False,33
fonts/Arnoia Display Italic.otf,True,True,True,26
fonts/Arnoia Display.otf,True,True,True,26
fonts/AromiaScript-Black_DONATIONWARE.otf,True,True,True,25
fonts/AromiaScript-Bold_DONATIONWARE.otf,True,True,True,23
fonts/AromiaScript-Medium_DONATIONWARE.otf,True,True,True,25
fonts/AromiaScript-Thin_DONATIONWARE.otf,True,True,True,22
fonts/Arrows ADF.ttf,True,False,False,31
fonts/Arrows.otf,True,False,False,35
fonts/Arrows.ttf,True,False,False,34
fonts/ArrowsADF.otf,True,False,False,33
fonts/ArtDystopia.ttf,False,True,False,22
fonts/ArtNouveauCaps.ttf,False,True,False,28
fonts/Artega.otf,True,True,True,24
fonts/Articulate.ttf,True,True,True,26
fonts/Artifika-Regular.ttf,True,True,True,25
fonts/Arty Signature.otf,True,False,False,27
fonts/Arvin Bold Italic.ttf,True,True,True,26
fonts/Arvin Bold.ttf,True,True,True,26
fonts/Arvin Italic.ttf,True,True,True,27
fonts/Arvin Light Italic.ttf,True,True,True,26
fonts/Arvin Light.ttf,True,True,True,26
fonts/Arvin.ttf,True,True,True,26
fonts/Arvo-Bold.ttf,True,True,True,24
fonts/Arvo-BoldItalic.ttf,True,True,True,25
fonts/Arvo-Italic.ttf,True,True,True,25
